name,bottomleft_x,bottomleft_y,topright_x,topright_y
Squirrel Hill,414970.22176324,123799.759281839,417057.17488923,126342.973059355
Shadyside,414253.991959703,126020.832778221,415787.749920511,127365.468662216
Downtown,408134.926658669,124711.018614083,410250.155783344,126107.766608744
South Side,409990.812213741,123671.374795631,412493.613291065,124199.445373807
