id,section,x,y,date
15222650,2702,416000.36237757525,127514.58099060661,2016-01-01
15238853,2702,409584.08990134305,128255.26288522243,2016-01-01
15249030,2702,417187.7801731492,127635.16590344447,2016-01-01
16000001,2702,408102.61625795404,126032.31216100583,2016-01-01
16000001,2702,408102.61625795404,126032.31216100583,2016-01-01
16000031,2702,405664.2486705374,126283.19697298501,2016-01-01
16000031,2702,405664.2486705374,126283.19697298501,2016-01-01
16000085,2702,413604.5972874583,127602.48909052972,2016-01-01
16000093,2702,410515.12307908194,124018.4000130791,2016-01-01
16000093,2702,410515.12307908194,124018.4000130791,2016-01-01
16000096,2702,404820.91262881533,126204.83127514827,2016-01-01
16000099,2702,412212.83729013085,123839.22834689239,2016-01-01
16000150,2702,410868.9351189063,124007.82365650545,2016-01-01
16000150,2702,410868.9351189063,124007.82365650545,2016-01-01
16000150,2702,410868.9351189063,124007.82365650545,2016-01-01
16000187,2702,412514.4621029896,127759.4609887151,2016-01-01
16000187,2702,412514.4621029896,127759.4609887151,2016-01-01
16000635,2702,413860.58362943196,123114.54433896796,2016-01-01
16000635,2702,413860.58362943196,123114.54433896796,2016-01-01
15237007,2702,409429.83847153187,124713.68225855948,2016-01-02
15242980,2702,404713.40417087544,126220.1411602553,2016-01-02
16000701,3701,414440.4021307294,123756.84650445389,2016-01-02
16000958,2702,413282.1183508918,127776.60629188744,2016-01-02
16001084,3701,411136.77897358884,124182.09316737097,2016-01-02
16001097,2702,409584.08990134305,128255.26288522243,2016-01-02
16001097,2702,409584.08990134305,128255.26288522243,2016-01-02
16001134,2702,411821.25716411683,127255.65747933197,2016-01-02
16001212,2702,408537.2110524798,128135.5851828288,2016-01-03
16001212,2702,408537.2110524798,128135.5851828288,2016-01-03
16001283,2702,410996.3113604819,123879.28936439159,2016-01-03
16001580,2702,410565.9633492994,124033.42681313856,2016-01-03
15230837,3701,416970.7855480154,128497.93088236413,2016-01-04
15248831,2702,409039.18655253353,126808.9405860055,2016-01-04
15249013,2702,410067.15719007514,120405.14110951181,2016-01-04
15240067,2702,417973.3805037347,127022.52984264948,2016-01-05
15241709,2702,415641.039840899,125299.7228160644,2016-01-05
15221402,2702,418412.0800236988,126185.28770712737,2016-01-06
15231705,3701,409704.3605910391,124751.01230800703,2016-01-06
15243202,3701,406921.70709205075,122353.30482562259,2016-01-06
15246470,2702,409429.83847153187,124713.68225855948,2016-01-06
16003180,2702,414420.62472803146,129803.68274765118,2016-01-06
16003180,2702,414420.62472803146,129803.68274765118,2016-01-06
16003205,3701,409283.7894373181,123155.44896434236,2016-01-06
16003270,3701,409355.448138751,125474.06617272324,2016-01-06
16003386,3701,411189.9512657571,124149.92132241013,2016-01-06
16003547,3701,416717.42133983027,125986.29641865708,2016-01-06
16003732,2702,418186.27456623083,126397.89408175723,2016-01-07
16003902,2702,409533.20742476406,121158.69978677541,2016-01-07
16004024,3701,410669.5046016547,127930.94192285417,2016-01-07
16004024,3701,410669.5046016547,127930.94192285417,2016-01-07
15225449,2702,410287.5895725853,125099.92347647037,2016-01-08
16004245,2702,411026.4883854991,125064.66791486865,2016-01-08
16004492,2702,407369.3984908709,120120.67079509464,2016-01-08
16004492,2702,407369.3984908709,120120.67079509464,2016-01-08
16004492,2702,407369.3984908709,120120.67079509464,2016-01-08
15223244,2702,409461.79318023927,123248.29090462341,2016-01-09
15223244,2702,409461.79318023927,123248.29090462341,2016-01-09
16004824,3701,409840.6142062919,121361.6205875822,2016-01-09
16004824,3701,409840.6142062919,121361.6205875822,2016-01-09
16004851,2702,416508.09797350084,128341.09759601447,2016-01-09
16004851,2702,416508.09797350084,128341.09759601447,2016-01-09
16005314,2702,408205.88512672856,123314.86838380239,2016-01-09
16005314,2702,408205.88512672856,123314.86838380239,2016-01-09
16005445,2702,410118.4861565024,120282.27636855675,2016-01-09
16005498,3701,413114.40175823274,124913.00413399443,2016-01-10
16005498,3701,413114.40175823274,124913.00413399443,2016-01-10
16005498,3701,413114.40175823274,124913.00413399443,2016-01-10
16005560,2702,410515.12307908194,124018.4000130791,2016-01-10
16005560,2702,410515.12307908194,124018.4000130791,2016-01-10
16005611,2702,415603.00682326825,123992.583268135,2016-01-10
16005644,2702,411888.1124079311,123805.74069647482,2016-01-10
16005644,2702,411888.1124079311,123805.74069647482,2016-01-10
16005902,2702,418604.11044310796,126593.88023701936,2016-01-10
16006057,3701,413467.72670911497,126595.21400573791,2016-01-10
16006100,3701,406624.1593461408,129333.39121904688,2016-01-10
13215522,2702,417685.05105411774,127927.60696009154,2016-01-11
15218960,2702,409879.4762307006,122184.9639376127,2016-01-11
15229658,2702,410067.15719007514,120405.14110951181,2016-01-11
16005902,2702,416970.7855480154,128497.93088236413,2016-01-11
16006623,3701,416185.8775249575,122360.90957495078,2016-01-11
15214604,2702,409610.88544886664,123067.77894095029,2016-01-12
15214604,2702,409610.88544886664,123067.77894095029,2016-01-12
16000187,2702,409429.83847153187,124713.68225855948,2016-01-12
16007286,2702,417998.83135085786,128052.0699532018,2016-01-12
15150094,2702,409704.3605910391,124751.01230800703,2016-01-13
16007320,2702,409350.7747274202,118901.93107676577,2016-01-13
15161492,3701,405250.55392225005,141716.6026703362,2016-01-14
15162744,3701,405485.5418466269,129909.83387375546,2016-01-14
15226063,3701,409030.52705847926,126795.57497416085,2016-01-14
15245538,2702,410995.21409818437,122783.13480576799,2016-01-14
15246308,2702,409429.83847153187,124713.68225855948,2016-01-14
16008129,3701,406140.57835848327,121728.59454120394,2016-01-14
16008289,2702,409403.454148161,124833.30006153756,2016-01-14
16008289,2702,409403.454148161,124833.30006153756,2016-01-14
16008472,3701,415276.99210482603,125577.3631857806,2016-01-14
15138495,2702,413440.8269492533,127649.79232146943,2016-01-15
15247907,3701,407404.2056624838,125456.38774750999,2016-01-15
16008617,3701,406852.18215021014,120835.21484811656,2016-01-15
16008644,3701,405219.7782472838,120894.91935031499,2016-01-15
16008711,3701,416341.3924829018,127437.12128132266,2016-01-15
16008796,3701,410636.7990610104,124004.25713321516,2016-01-15
16008901,2702,410927.81391375366,125205.31187476586,2016-01-15
16009216,2702,409610.03276522725,123167.03112252998,2016-01-15
16009216,2702,409610.03276522725,123167.03112252998,2016-01-15
16009216,2702,409610.03276522725,123167.03112252998,2016-01-15
15248849,2702,408445.34939639416,124752.00489811553,2016-01-16
16008711,3701,413836.12664892466,128344.75095803809,2016-01-16
16009514,3701,413875.9152683222,127961.78819409112,2016-01-16
15243329,3701,403878.3952813329,127291.56208334122,2016-01-17
16010028,2702,410353.51750562305,124839.01391895497,2016-01-17
16010028,2702,410353.51750562305,124839.01391895497,2016-01-17
16010203,3701,416263.63239174325,128035.88503656242,2016-01-17
16010215,2702,415158.9431649796,128423.34728413876,2016-01-17
16010215,2702,415158.9431649796,128423.34728413876,2016-01-17
16010215,2702,415158.9431649796,128423.34728413876,2016-01-17
16010287,2702,411340.1267325959,126321.41179083567,2016-01-17
16010352,2702,414186.5736151551,120825.85610251334,2016-01-17
16010352,2702,414186.5736151551,120825.85610251334,2016-01-17
16010467,3701,410137.16123744636,120082.96553819194,2016-01-17
15145298,2702,412270.02742428763,126573.78704321511,2016-01-18
15231657,2702,407781.1526287098,128076.57607877241,2016-01-18
15248364,2702,405825.8577553373,129644.3788133075,2016-01-18
16010586,2702,413856.01158678473,121407.72175402661,2016-01-18
16010586,2702,413856.01158678473,121407.72175402661,2016-01-18
16010586,2702,413856.01158678473,121407.72175402661,2016-01-18
16011360,2702,409242.90043360135,123353.26450940361,2016-01-19
16011360,2702,409242.90043360135,123353.26450940361,2016-01-19
16011566,2702,417653.94930378697,127885.22219482064,2016-01-19
16011667,3701,410676.9868770605,127913.76642049082,2016-01-19
16011894,3701,413995.8241760236,123563.18073835487,2016-01-20
16012072,3701,410776.15416660486,119208.70753298474,2016-01-20
16012153,3701,412820.94965218066,124465.91546566792,2016-01-20
16012153,3701,412820.94965218066,124465.91546566792,2016-01-20
15214119,3701,410157.7594225843,120203.15011495056,2016-01-21
15224506,2702,409183.44895596546,127190.4896281572,2016-01-21
16012164,2702,417725.17289854295,126877.22824998807,2016-01-21
16012278,3701,407935.30595635716,126892.22725127585,2016-01-21
16012598,3701,409182.26019693946,125492.41510832276,2016-01-21
15031704,2702,415013.4729830093,128337.29923777911,2016-01-22
15184365,2702,403537.0181922744,126743.71319662771,2016-01-22
16004724,3701,417090.8298991047,126968.0463484325,2016-01-22
16012153,3701,412820.94965218066,124465.91546566792,2016-01-22
16012153,3701,412820.94965218066,124465.91546566792,2016-01-22
16012907,3701,409954.8383993234,127818.13553735222,2016-01-22
16012944,2702,417881.7876272554,127620.24361534034,2016-01-22
16012944,2702,417881.7876272554,127620.24361534034,2016-01-22
16013199,2702,409435.142514733,123216.53588361677,2016-01-22
16013502,3701,408430.8960442707,123813.60449136898,2016-01-23
16013509,3701,404713.40417087544,126220.1411602553,2016-01-23
16013944,2702,417881.7876272554,127620.24361534034,2016-01-23
16013944,2702,417881.7876272554,127620.24361534034,2016-01-23
15243329,3701,409704.3605910391,124751.01230800703,2016-01-24
16014311,3701,412675.24490433757,125254.3657640447,2016-01-24
16014397,3701,406697.2064832514,128692.30334410435,2016-01-24
16014397,3701,406697.2064832514,128692.30334410435,2016-01-24
16014398,3701,409742.4534591145,128251.25660462506,2016-01-24
16014415,2702,411067.28469129506,126099.21226195667,2016-01-24
16014415,2702,411067.28469129506,126099.21226195667,2016-01-24
16014456,3701,412275.2610429806,124751.76297903279,2016-01-24
16000099,2702,400900.2591614423,124149.12007510188,2016-01-25
16012153,3701,412820.94965218066,124465.91546566792,2016-01-25
16012153,3701,412820.94965218066,124465.91546566792,2016-01-25
16012153,3701,412820.94965218066,124465.91546566792,2016-01-25
16014684,3701,409680.84545685665,121245.64231646303,2016-01-25
16000085,2702,409704.3605910391,124751.01230800703,2016-01-26
16015181,2702,407385.87912216585,126918.40702825016,2016-01-26
16015181,2702,407385.87912216585,126918.40702825016,2016-01-26
16015339,2702,419000.78683743544,127210.7439750141,2016-01-26
16015353,2702,406577.2851623804,128965.41148990097,2016-01-26
16015403,2702,407796.9340058995,128789.18461715254,2016-01-26
16015403,2702,407796.9340058995,128789.18461715254,2016-01-26
16015588,2702,407266.15036919725,127522.1045051649,2016-01-26
16015588,2702,407266.15036919725,127522.1045051649,2016-01-26
16015600,2702,406075.3555206769,126162.52243119817,2016-01-26
16015657,2702,404760.9230688791,126256.3388097165,2016-01-26
15226068,3701,408492.29186191736,127839.56634936201,2016-01-27
16012677,3701,407283.62764130015,130747.63519436464,2016-01-27
16012677,3701,407283.62764130015,130747.63519436464,2016-01-27
16015759,3701,408938.86177557055,125676.1491348329,2016-01-27
16015759,3701,408938.86177557055,125676.1491348329,2016-01-27
16015908,3701,415247.00003587443,123248.0778778848,2016-01-27
16016276,3701,408754.99099073536,123712.47169352738,2016-01-27
16016276,3701,408754.99099073536,123712.47169352738,2016-01-27
16016621,3701,408583.38797908236,127170.73854650704,2016-01-28
16016941,2702,411574.45753806067,123905.41063280242,2016-01-28
15110832,2702,408491.3567817841,119554.88247384196,2016-01-29
15229545,2702,418423.9976472412,127113.4361119666,2016-01-29
16013968,2702,415045.13031414273,126372.80152226168,2016-01-29
